Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Tucker Poolman (26070452),Tucker Poolman,26070452,D/UTIL,2800,SJ@VAN 12/27/2022 10:00PM ET,VAN,4.03
D,Mario Ferraro (26070464),Mario Ferraro,26070464,D/UTIL,2800,SJ@VAN 12/27/2022 10:00PM ET,SJ,5.33
C,Nicolas Roy (26069558),Nicolas Roy,26069558,C/UTIL,2800,VGK@LA 12/27/2022 10:30PM ET,VGK,5.17
D,Brandon Carlo (26070468),Brandon Carlo,26070468,D/UTIL,2700,BOS@OTT 12/27/2022 07:00PM ET,BOS,5.93
D,Artem Zub (26070472),Artem Zub,26070472,D/UTIL,2700,BOS@OTT 12/27/2022 07:00PM ET,OTT,5.45
LW,Marcus Johansson (26069926),Marcus Johansson,26069926,W/UTIL,2700,WAS@NYR 12/27/2022 07:00PM ET,WAS,5.88
LW,Sonny Milano (26069928),Sonny Milano,26069928,W/UTIL,2700,WAS@NYR 12/27/2022 07:00PM ET,WAS,6.87
C,Jesperi Kotkaniemi (26069560),Jesperi Kotkaniemi,26069560,C/UTIL,2700,CHI@CAR 12/27/2022 07:00PM ET,CAR,4.54
LW,Jordan Martinook (26069930),Jordan Martinook,26069930,W/UTIL,2700,CHI@CAR 12/27/2022 07:00PM ET,CAR,7.38
D,Jack Johnson (26070466),Jack Johnson,26070466,D/UTIL,2700,CHI@CAR 12/27/2022 07:00PM ET,CHI,5.83
RW,Kyle Okposo (26069934),Kyle Okposo,26069934,W/UTIL,2700,BUF@CLS 12/27/2022 07:30PM ET,BUF,6.74
LW,Ivan Barbashev (26069924),Ivan Barbashev,26069924,W/UTIL,2700,TOR@STL 12/27/2022 08:00PM ET,STL,6.01
C,Cody Glass (26069562),Cody Glass,26069562,C/UTIL,2700,DAL@NSH 12/27/2022 08:00PM ET,NSH,4.54
C,Juuso Parssinen (26069564),Juuso Parssinen,26069564,C/UTIL,2700,DAL@NSH 12/27/2022 08:00PM ET,NSH,4.98
D,Jani Hakanpaa (26070476),Jani Hakanpaa,26070476,D/UTIL,2700,DAL@NSH 12/27/2022 08:00PM ET,DAL,5.6
RW,Sam Gagner (26069932),Sam Gagner,26069932,W/UTIL,2700,MIN@WPG 12/27/2022 08:00PM ET,WPG,5.82
RW,Marcus Foligno (26069936),Marcus Foligno,26069936,W/UTIL,2700,MIN@WPG 12/27/2022 08:00PM ET,MIN,5.09
D,Josh Brown (26070470),Josh Brown,26070470,D/UTIL,2700,COL@ARI 12/27/2022 09:00PM ET,ARI,6.11
D,Marc-Edouard Vlasic (26070474),Marc-Edouard Vlasic,26070474,D/UTIL,2700,SJ@VAN 12/27/2022 10:00PM ET,SJ,5
C,Lars Eller (26069566),Lars Eller,26069566,C/UTIL,2600,WAS@NYR 12/27/2022 07:00PM ET,WAS,5.31
